demand_el,pv,wind
0.5590619824,0,0.315569
0.5336064859,0,0.311572
0.5060587569,0,0.304005
0.504140877,0,0.282872
0.5071048732,0,0.25397
0.5113765147,0,0.224077
0.5418010636,0,0.19358
0.5692616162,0.065722,0.159925
0.6029988667,0.206962,0.127115
0.6290645977,0.330638,0.117491
0.6346438846,0.403131,0.115909
0.6150292041,0.411138,0.104524
0.6057885102,0.367118,0.090434
0.5947171127,0.268577,0.084694
0.6072705082,0.112434,0.11591
0.6806730015,0.002041,0.161279
0.708830965,0,0.188771
0.7070002615,0,0.204966
0.6811960596,0,0.216057
0.6406590533,0,0.225119
0.6097986226,0,0.233534
0.6159009677,0,0.262063
0.5671693837,0,0.305065
0.5359602476,0,0.355796
0.5163455671,0,0.408281
0.5034434661,0,0.450823
0.4982128847,0,0.484929
0.519483916,0,0.52013
0.5817278354,0,0.566966
0.6566123267,0,0.61004
0.7317583471,0,0.642484
0.7625316014,0.024076,0.665305
0.7838026327,0.102765,0.67224
0.7953970883,0.194915,0.648874
0.7907767413,0.267827,0.610417
0.7687211228,0.268375,0.569487
0.760962427,0.202304,0.507579
0.7528550257,0.109901,0.437139
0.7663673612,0.031894,0.386878
0.8251242263,0.000307,0.355764
0.8388980908,0,0.329259
0.8151861215,0,0.306439
0.7600906634,0,0.28724
0.7054310871,0,0.262898
0.6626274954,0,0.234534
0.6560892686,0,0.212605
0.6046552175,0,0.190331
0.569435969,0,0.172295
0.541190829,0,0.165384
0.5312527243,0,0.16465
0.5216633249,0,0.160769
0.5441548252,0,0.152721
0.602824514,0,0.140034
0.6753552437,0,0.127357
0.7450091535,0,0.123194
0.777525935,0.078187,0.128808
0.79679191,0.195169,0.133742
0.7995815535,0.305888,0.130555
0.8000174353,0.368826,0.14512
0.7712492372,0.362952,0.178117
0.7549472583,0.294147,0.21425
0.7488449133,0.169365,0.252614
0.7550344347,0.053464,0.30002
0.8174527068,0.000717,0.340859
0.8424723215,0,0.353151
0.8266934007,0,0.346131
0.7749978206,0,0.326458
0.7112719031,0,0.298912
0.6664632552,0,0.271453
0.6674221951,0,0.264069
0.6144189696,0,0.255704
0.5784151338,0,0.239658
0.5502571703,0,0.223974
0.5316014297,0,0.206808
0.5175660361,0,0.183956
0.5325603696,0,0.158257
0.5622003313,0,0.123656
0.6008194578,0,0.091714
0.6614070264,0,0.068078
0.7072617906,0.019403,0.054547
0.7404759829,0.058531,0.057944
0.7552087874,0.084818,0.081962
0.7618341906,0.096619,0.121296
0.7376863395,0.091739,0.174995
0.7230407114,0.074938,0.258907
0.7116206085,0.045423,0.383407
0.7189434225,0.011641,0.526931
0.7641007759,0,0.657339
0.7744747624,0,0.748305
0.7392555139,0,0.806185
0.709789905,0,0.834782
0.6621916136,0,0.845516
0.623049429,0,0.845993
0.6261006015,0,0.841387
0.5721384361,0,0.834216
0.5349141313,0,0.814939
0.5000435882,0,0.787758
0.4879260744,0,0.755493
0.4773777352,0,0.71703
0.4857466655,0,0.660792
0.5025717026,0,0.591239
0.5261093192,0,0.524566
0.5735332578,0,0.462304
0.6129369715,0.00554,0.386052
0.659837852,0.02643,0.297422
0.6950571005,0.04573,0.222324
0.7064772034,0.057099,0.166182
0.6786679453,0.068052,0.118535
0.6589660884,0.071526,0.082108
0.6423154041,0.049794,0.064249
0.6507715108,0.017918,0.06836
0.7056926162,0.000285,0.094394
0.7224304769,0,0.129465
0.7161537791,0,0.155494
0.6888675791,0,0.176567
0.6483305727,0,0.198698
0.6149420277,0,0.224562
0.6198239038,0,0.231382
0.5788510156,0,0.224481
0.5414523581,0,0.212267
0.5149507454,0,0.204475
0.5006538227,0,0.194545
0.4935053613,0,0.178164
0.5023101735,0,0.14333
0.5200069741,0,0.106283
0.537529422,0,0.07623
0.5854764188,0,0.055587
0.6255775434,0.077264,0.039141
0.6571353849,0.216289,0.023739
0.6783192398,0.335969,0.017391
0.6802371197,0.403832,0.021849
0.6458024584,0.406394,0.042782
0.6285415395,0.355394,0.062213
0.617208613,0.242918,0.080229
0.6330747101,0.093341,0.111066
0.6963647459,0.00175,0.163784
0.7304507018,0,0.229751
0.7345479906,0,0.287306
0.7099642577,0,0.32231
0.6594019702,0,0.334882
0.6214802546,0,0.345451
0.6282800105,0,0.365203
0.5814663063,0,0.384523
0.547031645,0,0.39018
0.5287246099,0,0.371334
0.5186993287,0,0.342398
0.5157353326,0,0.307524
0.5479034086,0,0.273708
0.643274344,0,0.242204
0.7727312353,0,0.211476
0.8572923023,0,0.189333
0.8777787464,0.009195,0.164665
0.8854502659,0.047641,0.132215
0.8880655566,0.090388,0.105303
0.8932089617,0.127088,0.081704
0.8717635777,0.148794,0.059294
0.8667945253,0.150591,0.045594
0.8602562985,0.128613,0.044297
0.8549385407,0.07106,0.053339
0.9039316537,0.003258,0.071534
0.9244180978,0,0.090871
0.8961729579,0,0.10907
0.8317496295,0,0.125489
0.7736029989,0,0.136596
0.7194664807,0,0.150649
0.7044721472,0,0.162367
0.6459768111,0,0.176367
0.614767675,0,0.193332
0.5920146456,0,0.203727
0.5765844303,0,0.210103
0.5738819632,0,0.206776
0.5971580507,0,0.194505
0.6867753465,0,0.183395
0.8074274257,0,0.175232
0.8772556883,0,0.170146
0.8927730799,0.067126,0.162294
0.9018394211,0.184019,0.15305
0.9134338767,0.304866,0.137293
0.9046290646,0.394485,0.112974
0.8749019266,0.408927,0.091606
0.8728968704,0.35976,0.082472
0.8696713451,0.25436,0.07738
0.8747275739,0.10778,0.07931
0.9219771598,0.0024,0.0897
0.9324383227,0,0.097658
0.9007061285,0,0.094612
0.8429082033,0,0.08576
0.7829308691,0,0.075083
0.7329788161,0,0.065665
0.7143230756,0,0.056728
0.6615813791,0,0.047346
0.6262749542,0,0.0402
0.5961119344,0,0.038438
0.5861738297,0,0.045682
0.5817278354,0,0.062881
0.6090140354,0,0.083764
0.6900880481,0,0.113943
0.8081248365,0,0.154571
0.8829221515,9E-06,0.198913
0.8955627234,0.059474,0.237378
0.9072443553,0.139784,0.266344
0.9150902275,0.207921,0.29141
0.9137825822,0.262834,0.305059
0.8844041496,0.282589,0.30429
0.8876296748,0.259873,0.29988
0.8803068608,0.195584,0.301956
0.8897219074,0.086332,0.317774
0.9289512684,0.002121,0.345242
0.9367971406,0,0.361516
0.9014907157,0,0.379819
0.8437799669,0,0.406115
0.785807689,0,0.431427
0.7286199983,0,0.451883
0.7202510679,0,0.485349
0.6656786679,0,0.513379
0.62182896,0,0.542096
0.5960247581,0,0.568909
0.5839072444,0,0.598696
0.5792868974,0,0.634166
0.6084038009,0,0.687784
0.6906982826,0,0.709917
0.8094324819,0,0.705814
0.8823990934,0,0.68404
0.9081161189,0.038498,0.648343
0.9100339988,0.147806,0.593246
0.9139569349,0.315057,0.551427
0.8931217854,0.4368,0.535958
0.8626972365,0.471365,0.515982
0.8474413739,0.425294,0.4672
0.8408159707,0.311134,0.381649
0.8493592538,0.135982,0.34035
0.889373202,0.002841,0.333881
0.9021881266,0,0.332573
0.8817016825,0,0.332875
0.825298579,0,0.328777
0.7663673612,0,0.313851
0.7156307209,0,0.29224
0.7065643797,0,0.268551
0.657396914,0,0.239083
